PAIR,BULL_SAMPLES,BEAR_SAMPLES,BULL_AVG,BEAR_AVG,BULL_MEDIAN,BEAR_MEDIAN,BULL_MIN,BEAR_MIN,BULL_MAX,BEAR_MAX,BULL_STD,BEAR_STD,BULL_CV,BEAR_CV,OVERALL_SCORE
USELESSUSDT,16,24,1.3643223832414415,1.6863432721568419,1.2542770355777726,1.582360825358347,0.35392535392536184,0.08463305525329538,2.9378208784939996,3.630717783351249,0.7897204004183972,1.1144164700475354,0.5788370916719336,0.6608479355583344,0.619842513615134
ALGOUSDT,19,17,0.46298936592936696,0.562230110770605,0.4716981132075443,0.4866180048661771,0,0,1.1961722488038289,1.4563106796116585,0.29829080270776837,0.3539679754739868,0.6442713907888657,0.6295784745303492,0.6369249326596075
AIGENSYNUSDT,15,21,0.9882652760528338,0.8918169785870586,0.9020090200902069,0.7185122569737955,0.21422450728363937,0.0425713069391213,2.322635135135143,2.187902187902188,0.6307851561487927,0.6013473944005087,0.6382751387038212,0.6742946241652042,0.6562848814345128
STARUSDT,25,13,0.8981801007600968,1.5076686130018393,0.7352122089785093,1.5681315207081947,0.05744191983659623,0.4407505351970824,2.937924498499448,2.898726500909646,0.7203346757060927,0.7806494121322819,0.8019935813502214,0.5177858087646808,0.6598896950574511
EIGENUSDT,20,18,0.6948896085775599,0.5742843235503462,0.7108879345398325,0.5640745591173273,0.042698548249354824,0,2.222222222222229,1.2068248023304144,0.5070946588555921,0.3574600298746035,0.7297485134273567,0.6224443454501954,0.6760964294387761
MORPHOUSDT,15,24,0.5986797852654508,0.8385391768959516,0.5015190239668316,0.8018433390309093,0.06139025311673966,0.0049407114624610195,1.5223924717938575,2.1867155821587234,0.4187822488573771,0.566653816644317,0.6995095862000613,0.6757630797190876,0.6876363329595745
VIRTUALUSDT,18,19,0.6910858263000248,0.877720927578995,0.6260198927391671,0.7177814029363718,0.06611570247934992,0.09102494083379864,1.8544711614018599,2.5335076822490943,0.41351295028083335,0.6865411164629383,0.5983525266242586,0.7821861082389988,0.6902693174316288
VVVUSDT,15,21,0.5815762884115554,0.7907207439546861,0.49746660525103886,0.6441077746529958,0.05699088145896872,0.019391118867565133,1.7395264116575497,2.3588480485032264,0.3830210488258948,0.5771249907178823,0.65859123980455,0.729872075736204,0.6942316577703771
TACUSDT,21,19,2.3076585379545564,2.220938646733601,2.237721592560297,2.67411107846018,0.1611343860779825,0,6.572923479398307,5.4525627044711,1.418587780791399,1.7321294172777153,0.6147303673657001,0.7799087200473585,0.6973195437065293
GRAMUSDT,12,23,0.4142436834180623,0.39803022552772654,0.3964992210923532,0.30902348578491307,0.12594458438287165,0,0.8376288659793893,1.5586034912718147,0.19916496879405324,0.3654196018952341,0.480791806288214,0.9180699817727264,0.6994308940304702
FILUSDT,15,19,0.4374315084024298,0.5009793329163326,0.4305977710232977,0.36292935839274465,0.10545742156604573,0.01335291761249686,0.9425435765009793,1.9726459758022112,0.20274061883933872,0.4699832349749587,0.463479687551041,0.9381289887530142,0.7008043381520276
WLDUSDT,18,21,0.9885710394645439,0.8334668060670479,1.1396857921029733,0.6330716637123328,0.04928536224742077,0.025220680958383094,1.9272464466393655,2.584933530280652,0.5354865276407024,0.7183506503159328,0.5416773365430033,0.8618827349653867,0.701780035754195
XMRUSDT,19,18,0.43042105843674155,0.4195070434416232,0.3194207836456593,0.3005439306405161,0.10798469702579994,0.01853339099277268,1.1706410653453174,1.2667434389963048,0.27763292115422056,0.3309728373694409,0.6450263427225504,0.7889565682953728,0.7169914555089616
BASEDUSDT,19,19,1.2818787618309866,1.3645388937110332,1.085383502170762,1.4389256022170007,0,0,3.2485717486277585,3.772935779816515,0.9235735525322714,0.9750084693752255,0.7204843235042557,0.7145332931651136,0.7175088083346847
SEIUSDT,16,20,0.3851099277982925,0.5138511388544911,0.3354828577706209,0.38746094563632083,0.0413223140495851,0,1.0065735414954897,1.7190775681341746,0.2641136374197234,0.3904379100925381,0.6858136297074562,0.7598268848112832,0.7228202572593697
NATGASUSDT,16,19,0.36428742979003564,0.43073943674037135,0.2788374035277398,0.3191489361702092,0.03407155025553287,0.03486750348674651,0.8233276157804467,1.4513274336283315,0.2467129263164171,0.3362362366961071,0.6772479809655113,0.7806023967542444,0.7289251888598778
INJUSDT,18,19,0.7254270911133525,0.6244096313949791,0.6236330283859801,0.6523955147808365,0.0201085863663673,0,1.6875124081794712,1.9532908704883338,0.47591033822620077,0.5049241134396718,0.6560415844076009,0.8086424168564353,0.732342000632018
POLUSDT,19,13,0.41303469014148,0.3398522611766334,0.3611412062116224,0.2398944464435717,0.09644364074743429,0.05901794145421195,1.1268280987772838,1.0878762238607664,0.2717261102872763,0.2813289737948724,0.6578772117039366,0.827797857871705,0.7428375347878209
TREEUSDT,19,18,0.4761201557942903,0.8077083706834647,0.4370830457787041,0.6139827542657161,0.0457770656900874,0,1.2365468284863723,1.8493761140819904,0.32180937592708064,0.6556483087782159,0.6758995014403879,0.8117389054955826,0.7438192034679852
XAUTUSDT,10,16,0.2563676071437881,0.10102025974500217,0.207797104508005,0.08227948928338255,0.08242553855064534,0.00025110486138417865,0.4678608021528959,0.38542448544226604,0.12593891542896354,0.10083203750779955,0.491243479751826,0.9981367872377508,0.7446901334947884
